SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
227,River Flat,3,1,,Reforestation,Ungrazed,3,Litter,8,223516,825891,
222,River Flat,3,1,,Reforestation,Ungrazed,3,Molinia caerulea,5,223516,825891,
230,River Flat,3,1,,Reforestation,Ungrazed,3,Pleurozium schreberi,4,223516,825891,
229,River Flat,3,1,,Reforestation,Ungrazed,3,Potentilla erecta,1,223516,825891,
223,River Flat,3,1,,Reforestation,Ungrazed,3,Pteridium aquilinum,7,223516,825891,
231,River Flat,3,1,,Reforestation,Ungrazed,1,Calluna vulgaris,8,214590,821089,
225,River Flat,3,1,,Reforestation,Ungrazed,1,Hylocomium splendens,8,214590,821089,
228,River Flat,3,1,,Reforestation,Ungrazed,1,Litter,4,214590,821089,
234,River Flat,3,1,,Reforestation,Ungrazed,1,Pleurozium schreberi,7,214590,821089,
268,River Flat,3,2,8,Unforested,Grazed,1,Rhytidiadelphus sp.,4,214590,821089,8
270,River Flat,3,2,,Unforested,Grazed,1,Vaccinium myrtillus,6,214590,821089,
272,River Flat,3,2,,Unforested,Grazed,2,Calluna vulgaris,6,214590,821089,
273,River Flat,3,2,,Unforested,Grazed,2,Hylocomium splendens,9,214590,821089,
266,River Flat,3,2,,Unforested,Grazed,2,Litter,4,214590,821089,
267,River Flat,3,2,,Unforested,Grazed,2,Pinus sylvestris,1,214590,821089,
271,River Flat,3,2,,Unforested,Grazed,2,Pleurozium schreberi,6,214590,821089,
265,River Flat,3,2,,Unforested,Grazed,2,Sphagnum sp.,6,214590,821089,
264,River Flat,3,2,,Unforested,Grazed,2,Vaccinium myrtillus,4,214590,821089,
269,River Flat,3,2,,Unforested,Grazed,3,Calluna vulgaris,7,214590,821089,
277,River Flat,3,2,,Unforested,Grazed,3,Hylocomium splendens,6,214590,821089,
275,River Flat,3,2,,Unforested,Grazed,3,Litter,4,214590,821089,
280,River Flat,3,2,,Unforested,Grazed,3,Molinia caerulea,3,214590,821089,
285,River Flat,3,2,,Unforested,Grazed,3,Poa trivialis,3,214590,821089,
281,River Flat,3,2,,Unforested,Grazed,3,Rhytidiadelphus sp.,3,214590,821089,
279,River Flat,3,2,,Unforested,Grazed,3,Sphagnum sp.,10,214590,821089,
274,River Flat,3,2,,Unforested,Grazed,3,Vaccinium myrtillus,4,214590,821089,
282,River Flat,3,2,,Unforested,Grazed,NA,Blechnum spicant,NA,214590,821089,
284,River Flat,3,2,,Unforested,Grazed,NA,Carex hostiana,NA,214590,821089,
278,River Flat,3,2,,Unforested,Grazed,NA,Dryopteris filix-mas,NA,214590,821089,
283,River Flat,3,2,,Unforested,Grazed,NA,Galium saxatile,NA,214590,821089,
276,River Flat,3,2,,Unforested,Grazed,NA,Potentilla erecta,NA,214590,821089,
288,River Flat,3,2,,Unforested,Grazed,1,Calluna vulgaris,8,235592,817787,
291,River Flat,3,2,,Unforested,Grazed,1,Hylocomium splendens,6,235592,817788,
294,River Flat,3,2,,Unforested,Grazed,1,Litter,5,235592,817789,
295,River Flat,3,2,,Unforested,Grazed,1,Molinia caerulea,6,235592,817790,
287,River Flat,3,2,,Unforested,Grazed,1,Pleurozium schreberi,8,235592,817791,
292,River Flat,3,2,,Unforested,Grazed,1,Potentilla erecta,1,235592,817792,
293,River Flat,3,2,,Unforested,Grazed,1,Rhytidiadelphus sp.,3,235592,817793,
